Participant_ID,Gender,Age,Marital_Status,Educational_Level,Monthly_Income,Family_Size,ECP_Name,ECP_Use_times_yr,Purchase_Qty,ECP_Source,Usability_Navigation,Content_and_Clarity,User_Engagement,Functionality_Features,User_Cantered_Design,Result
56,Male,50,Single,Diploma,800,5,Modanisa,3,10,Referred from other website,Disagree,Neutral,Strongly Agree,Agree,Agree,Agree
57,Female,50,Single,Diploma,1000,7,Shein,9,9,"Social media applications like Facebook, Instagram and others",Agree,Neutral,Agree,Strongly Agree,Disagree,Agree
58,Male,60,Single,Master,200,7,Cdiscount,10,3,Search engines like google,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree
59,Female,40,Single,Higher Diploma,800,7,Esty,3,10,From online advertisement,Agree,Disagree,Strongly Agree,Neutral,Agree,Agree
60,Male,20,Single,Bachelor,200,5,OpenSooq,3,3,"Social media applications like Facebook, Instagram and others",Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree
61,Female,30,Married,Bachelor,200,2,OpenSooq,3,3,Other,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
62,Male,30,Married,Bachelor,500,5,Shein,6,6,"Social media applications like Facebook, Instagram and others",Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree
63,Female,30,Married,Master,200,2,Shein,3,3,"Social media applications like Facebook, Instagram and others",Agree,Agree,Agree,Agree,Agree,Agree
64,Female,40,Married,Higher Diploma,200,5,ebay,3,6,Search engines like google,Strongly Agree,Agree,Agree,Agree,Agree,Agree
65,Female,30,Married,Bachelor,500,5,Modanisa,3,3,"Social media applications like Facebook, Instagram and others",Neutral,Neutral,Agree,Neutral,Agree,Neutral
66,Male,50,Married,Higher Diploma,500,7,Amazon,9,6,From online advertisement,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
67,Female,60,Married,Bachelor,200,5,OpenSooq,3,3,Search engines like google,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
68,Female,30,Single,Diploma,200,2,Shein,3,3,"Social media applications like Facebook, Instagram and others",Neutral,Agree,Agree,Neutral,Agree,Agree
69,Male,20,Single,Bachelor,200,5,Amazon,3,6,"Social media applications like Facebook, Instagram and others",Agree,Agree,Strongly Agree,Agree,Agree,Agree
70,Female,20,Single,Secondary certificate,200,2,Modanisa,6,6,Search engines like google,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Agree
71,Female,20,Single,Higher Diploma,800,5,Amazon,10,6,From online advertisement,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
72,Male,30,Married,Master,1000,2,ebay,6,10,"Social media applications like Facebook, Instagram and others",Agree,Agree,Agree,Agree,Agree,Agree
73,Male,60,Single,Diploma,200,7,Modanisa,9,9,From online advertisement,Strongly Agree,Agree,Agree,Neutral,Agree,Agree
74,Female,60,Married,Master,800,2,Esty,3,10,Search engines like google,Agree,Agree,Strongly Agree,Agree,Agree,Agree
75,Female,50,Married,Higher Diploma,800,5,Amazon,10,3,"Social media applications like Facebook, Instagram and others",Disagree,Disagree,Agree,Disagree,Strongly disagree,Disagree
76,Male,20,Married,Secondary certificate,200,2,Amazon,3,3,"Social media applications like Facebook, Instagram and others",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
77,Male,20,Single,Secondary certificate,200,2,Amazon,6,6,Referred from other website,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree
78,Male,20,Married,Diploma,1000,7,Amazon,10,6,From online advertisement,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
79,Male,20,Married,Bachelor,1000,2,Amazon,9,6,Search engines like google,Agree,Agree,Agree,Disagree,Disagree,Agree
80,Male,20,Married,PHD,200,7,Amazon,9,10,Search engines like google,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree
81,Female,60,Married,Diploma,500,5,Esty,3,6,"Social media applications like Facebook, Instagram and others",Agree,Agree,Agree,Agree,Agree,Agree
82,Male,20,Single,PHD,1000,2,Amazon,10,9,From online advertisement,Disagree,Agree,Agree,Disagree,Agree,Agree
83,Male,20,Married,Secondary certificate,200,2,Amazon,6,3,Search engines like google,Neutral,Neutral,Neutral,Agree,Disagree,Neutral
84,Male,50,Married,Bachelor,1000,5,OpenSooq,6,6,From online advertisement,Neutral,Neutral,Neutral,Agree,Agree,Neutral
85,Male,20,Single,Master,200,7,ebay,9,10,From online advertisement,Strongly Agree,Disagree,Disagree,Neutral,Agree,Disagree
86,Female,20,Married,Bachelor,500,2,Cdiscount,10,10,"Social media applications like Facebook, Instagram and others",Strongly Agree,Agree,Agree,Agree,Neutral,Agree
87,Female,40,Married,Diploma,200,2,Amazon,3,3,"Social media applications like Facebook, Instagram and others",Agree,Agree,Agree,Agree,Agree,Agree
88,Female,30,Married,Higher Diploma,200,5,Shein,6,6,"Social media applications like Facebook, Instagram and others",Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree
89,Male,50,Married,Secondary certificate,200,2,OpenSooq,3,3,Other,Neutral,Agree,Agree,Agree,Agree,Agree
90,Female,30,Married,Diploma,200,2,Cdiscount,3,3,Other,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
91,Female,30,Single,Bachelor,200,5,Modanisa,3,3,Other,Neutral,Agree,Agree,Neutral,Neutral,Neutral
92,Female,30,Married,Higher Diploma,800,2,Modanisa,9,10,"Social media applications like Facebook, Instagram and others",Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree
93,Female,50,Married,Master,800,2,Shein,9,6,Search engines like google,Disagree,Agree,Agree,Neutral,Neutral,Agree
94,Female,40,Single,Bachelor,800,7,Cdiscount,10,10,"Social media applications like Facebook, Instagram and others",Disagree,Neutral,Strongly disagree,Strongly disagree,Disagree,Disagree
95,Female,40,Married,Diploma,1000,5,Shein,3,9,Other,Disagree,Agree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree
96,Female,40,Married,Master,200,7,ebay,10,3,Search engines like google,Neutral,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
97,Male,20,Single,Secondary certificate,200,2,Amazon,3,3,"Social media applications like Facebook, Instagram and others",Agree,Agree,Agree,Agree,Agree,Agree
98,Male,50,Married,Master,1000,5,Cdiscount,6,10,Referred from other website,Disagree,Agree,Neutral,Neutral,Agree,Agree
99,Female,20,Single,Secondary certificate,500,2,Amazon,3,6,Referred from other website,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree
100,Female,30,Married,Bachelor,200,5,Shein,6,3,From online advertisement,Neutral,Agree,Neutral,Neutral,Agree,Neutral
101,Female,20,Married,Bachelor,200,7,Amazon,6,6,"Social media applications like Facebook, Instagram and others",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
102,Female,50,Married,Master,200,5,Cdiscount,9,3,From online advertisement,Strongly Agree,Neutral,Neutral,Agree,Agree,Agree
103,Male,20,Single,PHD,200,5,Amazon,3,6,Referred from other website,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral,Neutral
104,Female,40,Married,Bachelor,200,5,Shein,3,3,"Social media applications like Facebook, Instagram and others",Agree,Neutral,Neutral,Neutral,Neutral,Neutral
105,Female,20,Married,Diploma,200,2,Shein,6,3,Search engines like google,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree
106,Male,30,Married,Higher Diploma,200,2,Amazon,3,6,"Social media applications like Facebook, Instagram and others",Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree
107,Male,30,Married,Bachelor,200,2,ebay,9,6,Other,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree
108,Male,30,Single,Secondary certificate,500,2,Esty,3,6,"Social media applications like Facebook, Instagram and others",Agree,Agree,Agree,Agree,Strongly Agree,Agree
109,Male,20,Married,Bachelor,200,2,Shein,10,6,"Social media applications like Facebook, Instagram and others",Agree,Neutral,Strongly Agree,Neutral,Agree,Agree
110,Female,30,Single,Bachelor,200,2,OpenSooq,3,3,"Social media applications like Facebook, Instagram and others",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
111,Female,50,Married,PHD,800,2,OpenSooq,3,6,Search engines like google,Agree,Neutral,Agree,Neutral,Strongly Agree,Agree
112,Male,40,Married,Higher Diploma,200,2,ebay,3,3,Referred from other website,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree
113,Female,50,Married,Secondary certificate,200,5,OpenSooq,3,3,Referred from other website,Neutral,Agree,Neutral,Neutral,Neutral,Neutral
114,Male,50,Married,PHD,500,5,Esty,6,9,From online advertisement,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Neutral
115,Female,50,Married,PHD,500,5,Shein,6,6,From online advertisement,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Agree
116,Male,40,Married,Bachelor,200,2,Modanisa,6,3,"Social media applications like Facebook, Instagram and others",Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
